Descripcion;SKU_Detectado;Imagen_Original;Imagen_Final;Imagen_URL_Origen;URL_Producto;Fuente
CAUCHO SOPORTE EXOSTO CM57 PULSAR-200NS;;image121.jpeg;caucho-soporte-exosto-cm57-pulsar-200ns.jpeg;;;DOCX_V2_SEGURO
CAUCHO TAPA LATERAL RX/DTK CM9;;image122.jpeg;caucho-tapa-lateral-rx-dtk-cm9.jpeg;;;DOCX_V2_SEGURO
CAUCHO TAPA LATERAL RX/DTK CM9;;image123.jpeg;caucho-tapa-lateral-rx-dtk-cm9-138.jpeg;;;DOCX_V2_SEGURO
CAUCHO TAPA LATERAL SUZUKI AX/KW/AKT;;image126.jpeg;caucho-tapa-lateral-suzuki-ax-kw-akt.jpeg;;;DOCX_V2_SEGURO
CAUCHO TAPA LATERAL OVALADO PEQUEÑO;;image127.jpeg;caucho-tapa-lateral-ovalado-pequeno.jpeg;;;DOCX_V2_SEGURO
CAUCHO TAPA LATERAL AKT-125/TT/XL250 CM10;;image127.jpeg;caucho-tapa-lateral-akt-125-tt-xl250-cm10.jpeg;;;DOCX_V2_SEGURO
CAUCHO TAPA LATERAL AKT-125/XL/BOXER CM36;;image127.jpeg;caucho-tapa-lateral-akt-125-xl-boxer-cm36.jpeg;;;DOCX_V2_SEGURO
CAUCHO PROTECTOR EXOSTO;;image128.jpeg;caucho-protector-exosto.jpeg;;;DOCX_V2_SEGURO
BAJO 04890;;image129.png;bajo-04890.png;;;DOCX_V2_SEGURO
BAJO 04890;;image130.jpeg;bajo-04890.jpeg;;;DOCX_V2_SEGURO
TOPE GATO AGILITY CM15;;image131.jpeg;tope-gato-agility-cm15.jpeg;;;DOCX_V2_SEGURO
DTK-100/125/175;;image132.jpeg;dtk-100-125-175.jpeg;;;DOCX_V2_SEGURO
DTK-100/125/175;;image133.png;dtk-100-125-175.png;;;DOCX_V2_SEGURO
DTK-100/125/175;;image134.png;dtk-100-125-175-151.png;;;DOCX_V2_SEGURO
DTK-100/125/175;;image135.png;dtk-100-125-175-152.png;;;DOCX_V2_SEGURO
DTK-100/125/175;;image136.png;dtk-100-125-175-153.png;;;DOCX_V2_SEGURO
DTK-100/125/175;;image137.png;dtk-100-125-175-154.png;;;DOCX_V2_SEGURO
DTK-100/125/175;;image138.png;dtk-100-125-175-155.png;;;DOCX_V2_SEGURO
DTK-100/125/175;;image139.png;dtk-100-125-175-156.png;;;DOCX_V2_SEGURO
DTK-100/125/175;;image140.png;dtk-100-125-175-157.png;;;DOCX_V2_SEGURO
TAPON GUARDACADENA ECO;;image141.jpeg;tapon-guardacadena-eco.jpeg;;;DOCX_V2_SEGURO
TAPON GUARDACADENA BOXER/PULSAR;;image141.jpeg;tapon-guardacadena-boxer-pulsar.jpeg;;;DOCX_V2_SEGURO
TAPON GUARDACADENA DISCOVER/PLATINO CM49B;;image141.jpeg;tapon-guardacadena-discover-platino-cm49b.jpeg;;;DOCX_V2_SEGURO
ECO- DELUXE;;image142.jpeg;eco-deluxe.jpeg;;;DOCX_V2_SEGURO
KIT ANTIVIBRANTE CALIPER X2 PZS UNIVERSAL;;image143.jpeg;kit-antivibrante-caliper-x2-pzs-universal.jpeg;;;DOCX_V2_SEGURO
KIT ANTIVIBRANTE CALIPER X3 PZS UNIVERSAL;;image144.jpeg;kit-antivibrante-caliper-x3-pzs-universal.jpeg;;;DOCX_V2_SEGURO
X7 PZS UNIVERSAL;;image146.jpeg;x7-pzs-universal.jpeg;;;DOCX_V2_SEGURO
SET CAUCHO SILLIN ECO DELUXE CON BUJE;;image148.jpeg;set-caucho-sillin-eco-deluxe-con-buje.jpeg;;;DOCX_V2_SEGURO
GUARDAPOLVO BARRAS AKT-125/SP/SL/NKD;;image149.jpeg;guardapolvo-barras-akt-125-sp-sl-nkd.jpeg;;;DOCX_V2_SEGURO
